text,date,user,sentiment,query,__index_level_0__
@mileycyrus @mitchelmusso you are both amazing friends to each other  mitchel i LOVE the new album!,Tue Jun 02 18:35:13 PDT 2009,chennysherm13,1,NO_QUERY,38301
http://twitpic.com/6r52a - benjamin &amp; i...graduates of roseville area high school. 09! ,Sat Jun 06 09:58:37 PDT 2009,bianca101,1,NO_QUERY,22003
Dad and me going to Vegas tomorrow (again) Finally he calls ,Sat Jun 20 22:42:27 PDT 2009,iiTzZKAt,0,NO_QUERY,49948
is enjoying eurovision ,Sun May 17 04:46:20 PDT 2009,NickyRodriguez,1,NO_QUERY,43640
@ohjustjake there are no awkward crushes on NPH. he is amazingg ,Sun Jun 07 21:02:14 PDT 2009,sosiimple,1,NO_QUERY,49634
@ypatten @ktsummer Hands off My Man girls!!!! I laid claim to Jordan 23 years ago!!!!! HE'S MINE!!! ,Fri May 22 08:40:32 PDT 2009,NKOTBSummertime,1,NO_QUERY,20199
need to do homework.. can't wait for LVATT.. im gonna mention LVATT in evry tweet until i actually get LVATT.  so yeh. LVATT,Tue Jun 16 05:02:08 PDT 2009,ulovefran,1,NO_QUERY,30196
Car hell today means running behind on client-stuff so no sneaking out for 32GB iPhone for me ,Fri Jun 19 06:38:38 PDT 2009,craigmcgill,0,NO_QUERY,39610
just threw up all over the bathroom. not fun ,Tue Apr 07 00:42:38 PDT 2009,bri2003,0,NO_QUERY,19496
had a great weekend! not ready for Monday though! ,Sun May 10 20:16:48 PDT 2009,gigemblinn,1,NO_QUERY,28236
@Lovey602 I had no time to tweet today  I'll never catch up lol....nite...,Mon Jun 15 22:35:08 PDT 2009,AngieGomez1043,0,NO_QUERY,44000
"@imkrissy If I'm cryin over a $500 phone, what u think I'ma do for a $1300 laptop? o_O Guess I'm being mean huh? ",Tue Jun 16 16:38:39 PDT 2009,_Jaska,0,NO_QUERY,6046
@jmarie7481 They should be there soon!!! I can't wait to see them on you. ,Mon Jun 01 22:20:02 PDT 2009,Beau_Monde,1,NO_QUERY,12327
@P_E_S_O_ awwwww  we want p_e_s_o! we want p_e_s_o! (Chanting) lol,Sun Jun 07 09:52:20 PDT 2009,cityy,0,NO_QUERY,12880
"@Cassandrasruns , Do U ever get injured running?.. If so how do U recover?... I am training for 1/2 marathon and need some input.. Thanx ",Fri May 29 21:05:43 PDT 2009,mirism,1,NO_QUERY,33410
I have ants in my room!!  &amp; since I left my laptop on the floor they got inside &amp; IDK how to get them out. Bug spray &amp; vacuming are out ,Mon May 18 00:11:59 PDT 2009,HelloEli,0,NO_QUERY,39923
@Elinalipona Got your postcard today. Thanks  I always enjoy getting mail.,Mon May 18 07:57:46 PDT 2009,xintron,1,NO_QUERY,13153
"@KimmyCakezZ why shhpank you mishh  -- yours too! aww que smile, berry purdy!",Fri May 29 16:14:31 PDT 2009,_rosieCAKES,1,NO_QUERY,48881
I like my hair now. ,Tue Jun 02 01:01:02 PDT 2009,KassaNYAR,1,NO_QUERY,31192
Drivin back to ohio to do some more studyin! Yay ,Sun Jun 07 07:04:22 PDT 2009,acarey5,0,NO_QUERY,991
@avocadogreen YOU'RE SUCH A SWEETIE!  I hope you have a GREAT afternoon!,Sat Jun 06 11:01:37 PDT 2009,MissKelleyT,1,NO_QUERY,19850
"@Nin85 Yeah, we should go. Can't let Paula hog the sun all by herself. ",Mon Jun 15 05:42:53 PDT 2009,akaha00,1,NO_QUERY,38780
My head is pounding none stop this is soooo weak  keeping fit comes at a price..,Sun Jun 07 14:24:31 PDT 2009,vicariouslyme,0,NO_QUERY,32926
configuration of braxton connect to teh house wireless router A SUCCESS!! ohwhysosavvy?? ,Sun May 31 23:45:36 PDT 2009,qiroonggyy,1,NO_QUERY,5174
Headed to an all day training with 24! I will be armed with new moves when I get back! ,Sat Jun 06 04:28:56 PDT 2009,michellemcmyers,1,NO_QUERY,9870
"Testing Twitter on my mini browser, Gush. ",Mon Jun 15 05:36:48 PDT 2009,romeolove24,1,NO_QUERY,9021
My favorite DMB song dedicated to @ChrisHy  &quot;Ants Marching&quot; â« http://blip.fm/~7jzz4,Wed Jun 03 07:50:10 PDT 2009,Mom2Amara,1,NO_QUERY,29909
so irritated that I got up and ready for work just to have to turn around and come back home ,Wed Jun 03 07:10:51 PDT 2009,meganmichele89,0,NO_QUERY,25156
#Athens tweeps just joining us:  The GA Theatre is on fire.  ,Fri Jun 19 05:56:51 PDT 2009,GoonrGrrl,0,NO_QUERY,47068
MacBook plantÃ©. IcÃ´ne dossier ! clignotant au redÃ©marrage. I've got a bad feeling about this. ,Thu Jun 25 08:18:21 PDT 2009,pjournel,0,NO_QUERY,47394
oh headache... go away please.. ,Tue Jun 16 13:44:59 PDT 2009,chrismunns,0,NO_QUERY,25393
@jseifer recording in the shower sounds great. Maybe the next door will be amplified too  Remember to turn shower off,Mon Jun 15 14:28:40 PDT 2009,kbrock,0,NO_QUERY,37664
i wish i could talk to you john ,Wed Jun 17 06:11:16 PDT 2009,dougerzz,0,NO_QUERY,37372
damn everything sucks sometimes. right now i feel unhappy ,Sun Apr 19 05:28:52 PDT 2009,Shannonstar,0,NO_QUERY,31029
"movies,breakfast at 2am,all thats missing is my friends ",Tue May 26 23:08:28 PDT 2009,iamjustinn,0,NO_QUERY,37145
@paulson500 It was far too hot to sweat... We walked for a long time in it  The results when I went in an AC place was not too nice!,Tue Jun 16 13:10:42 PDT 2009,squawkbox,0,NO_QUERY,33054
@she_writes i've been wanting it for 2 years LOL...that and a HD camcorder ,Sat May 09 18:30:59 PDT 2009,SirPsycho84,1,NO_QUERY,49925
just love a bit of star trek in the mornin ,Mon Jun 15 01:22:37 PDT 2009,Aimeesquiggle,1,NO_QUERY,13965
@mileycyrus Hi Miley. Feeling  ? Why not try Blackpool? Its like Vegas except it has a lower drinking age.,Sat May 30 10:15:08 PDT 2009,BigSexyNeil,0,NO_QUERY,2102
@smashingmag No worries ,Mon May 04 02:43:01 PDT 2009,Krftd,1,NO_QUERY,23577
"Be at church for a bit, take my messages  #fb",Sun Jun 07 07:27:36 PDT 2009,kasperapd,1,NO_QUERY,42882
"just had a shower, how is it ,I got out and left the conditioner in still,   hands up how many of you have done that as well ?",Sun May 10 04:16:28 PDT 2009,spanishman,0,NO_QUERY,12132
"@andreiurbano  i will take a course to be teacher , i hope they will accept me if not i kill them ",Sun May 31 16:01:57 PDT 2009,Danieta,1,NO_QUERY,23088
jesus its cold in here n i cnt turn off the air ,Sat May 30 15:27:07 PDT 2009,spacepoop,0,NO_QUERY,12593
"@jbrauer Here, here! But reality intervenes during the process of developing the data model.  My data models != complete. #calicon09",Fri Jun 19 15:28:36 PDT 2009,smatheson,0,NO_QUERY,40092
Going to a baseball game today.  I'm kind of indifferent about this.,Thu May 14 03:42:03 PDT 2009,reachinforLA,1,NO_QUERY,6517
